Date,Open,High,Low,Close,Volume,Market Cap
10/23/2018,9.7,9.86,9.68,9.8,30852200,1282236149
10/22/2018,9.72,9.84,9.65,9.73,27599800,1272265317
10/21/2018,9.76,9.87,9.68,9.74,25790200,1274416966
10/20/2018,9.76,9.79,9.68,9.75,23972200,1275898922
10/19/2018,9.72,9.79,9.63,9.77,24658400,1277484210
10/18/2018,9.93,9.96,9.64,9.72,29790800,1270922008
10/17/2018,10.03,10.03,9.82,9.9,35325400,1295497891
10/16/2018,10.32,10.33,9.92,10.01,30719200,1175713142
10/15/2018,9.48,10.44,9.42,10.32,52331400,1211556837
10/14/2018,9.55,9.64,9.47,9.5,22974000,1115328494
10/13/2018,9.49,9.63,9.48,9.54,24253100,1120451371
10/12/2018,9.28,9.66,9.24,9.53,26099400,1119110169
10/11/2018,10.31,10.31,9.25,9.3,26084400,1092377724
10/10/2018,10.36,10.4,10.21,10.33,26141100,1212954413
10/9/2018,10.54,10.57,10.23,10.38,27881100,1219636937
10/8/2018,10.53,10.63,10.46,10.51,31932700,1233929786
10/7/2018,10.4,10.53,10.3,10.52,32205000,1235386083
10/6/2018,10.65,10.75,10.3,10.37,30941000,1218133662
10/5/2018,10.25,10.72,10.24,10.64,40756200,1249150438
10/4/2018,10.29,10.39,10.22,10.26,32534900,1204451518
10/3/2018,10.33,10.44,10.06,10.27,38371900,1206283633
10/2/2018,9.94,10.61,9.88,10.36,41386000,1216336780
10/1/2018,10.01,10.05,9.88,9.94,25138500,1167816254
9/30/2018,10,10.04,9.85,10.02,26954000,1176523501
9/29/2018,9.96,10.03,9.76,10,26072400,1174332009
9/28/2018,10.04,10.23,9.89,9.97,25097900,1120985498
9/27/2018,9.74,10.08,9.67,10.03,26966900,1127941241
9/26/2018,9.78,9.9,9.59,9.74,18370400,1094818818
9/25/2018,10.03,10.03,9.51,9.78,19256100,1100050805
9/24/2018,10.29,10.32,9.94,10.04,19223700,1128469725
9/23/2018,10.27,10.37,10.16,10.28,22673000,1155984600
9/22/2018,10.42,10.53,9.97,10.25,21731800,1151981619
9/21/2018,10.06,10.44,9.96,10.41,35228200,1170624718
9/20/2018,9.63,10.1,9.6,10.07,27983700,962240914
9/19/2018,9.56,9.78,9.31,9.62,22684800,918743556
9/18/2018,9.39,9.64,9.28,9.54,23016100,911577251
9/17/2018,9.95,10.01,9.32,9.41,22370800,898320113
9/16/2018,10.12,10.13,9.78,9.94,20623100,949014340
9/15/2018,9.9,10.2,9.9,10.11,27281100,965660262
9/14/2018,9.64,10.09,9.55,9.93,26124800,948444130
9/13/2018,9.22,9.69,9.22,9.6,24817100,917308003
9/12/2018,9.39,9.48,9.04,9.21,21323500,880093458
9/11/2018,9.52,9.61,9.23,9.37,18572100,895330571
9/10/2018,9.58,9.71,9.37,9.52,12427900,909744366
9/9/2018,9.55,9.73,9.27,9.51,13947300,908575293
9/8/2018,10.03,10.19,9.41,9.52,15053100,909286861
9/7/2018,10.26,10.27,9.87,10.04,16640400,958687848
9/6/2018,10.05,10.3,9.62,10.28,23466000,982269890
9/5/2018,11.41,11.54,10.09,10.09,29308300,963396616
9/4/2018,11.31,11.42,11.26,11.36,18878700,1084945853
9/3/2018,11.35,11.41,11.11,11.26,18644300,1075576074
9/2/2018,11.43,11.46,11.14,11.3,21757400,1079234204
9/1/2018,11.03,11.54,11.03,11.38,29776300,1086875205
8/31/2018,10.76,11.02,10.6,11.01,22638200,1051955827
8/30/2018,11.17,11.19,10.38,10.76,23247800,1027963081
8/29/2018,11.47,11.47,10.91,11.17,33530600,1067209177
8/28/2018,11.16,11.5,10.84,11.49,43860800,1097066392
8/27/2018,10.22,11.34,10.13,11.21,44953500,1070962819
8/26/2018,10.11,10.27,9.81,10.19,22551200,972852355
8/25/2018,10.19,10.25,9.98,10.14,19561400,968095832
8/24/2018,9.76,10.23,9.56,10.23,22814900,977542020
8/23/2018,9.5,9.72,9.4,9.72,17327500,927907983
8/22/2018,9.74,10.2,9.26,9.54,23929500,911163682
8/21/2018,9.68,9.85,9.42,9.71,13228100,927868822
8/20/2018,10.14,10.2,9.64,9.7,17617700,926560301
8/19/2018,9.92,10.3,9.75,10.16,21218500,970044287
8/18/2018,10.78,10.97,9.54,9.91,27803700,946297964
8/17/2018,9.78,10.87,9.72,10.87,37502400,1038010999
8/16/2018,9.53,9.98,9.39,9.8,24709700,936245271
8/15/2018,9.41,10.59,9.4,9.46,42994900,903835961
8/14/2018,10.3,10.3,8.66,9.42,39515200,899738474
